traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
0,None,23.53,0,0,40,Rain,light rain,23-07-2016 18:00
0,None,22.75,0,0,90,Haze,haze,23-07-2016 23:00
1,None,22.81,0,0,75,Clouds,broken clouds,23-07-2016 22:00
1,None,22.67,0,0,1,Clear,sky is clear,25-07-2015 09:00
1,None,22.12,0,0,1,Clear,sky is clear,25-07-2015 08:00
1,None,20.93,0,0,1,Clear,sky is clear,07-09-2016 23:00
1,None,20.71,0,0,75,Clouds,broken clouds,08-09-2016 03:00
1,None,21.48,0,0,40,Clouds,scattered clouds,09-07-2016 23:00
1,None,24.33,0,0,40,Clouds,scattered clouds,23-07-2016 19:00
10,None,23.62,0,0,1,Clear,sky is clear,22-07-2016 23:00
10,None,22.27,13.46,0,90,Rain,heavy intensity rain,23-07-2016 13:00
10,None,22.27,13.46,0,90,Mist,mist,23-07-2016 13:00
10,None,22.27,13.46,0,90,Thunderstorm,thunderstorm with heavy rain,23-07-2016 13:00
10,None,22.27,13.46,0,90,Fog,fog,23-07-2016 13:00
10,None,23.00,0,0,1,Clear,sky is clear,09-07-2016 21:00
100,None,26.89,0,0,75,Clouds,broken clouds,24-07-2016 13:00
1000,None,11.07,0,0,20,Rain,light rain,18-10-2016 04:00
1000,Veterans Day,14.97,0,0,87,Clear,sky is clear,12-11-2012 00:00
1000,None,16.21,0,0,8,Clear,sky is clear,03-10-2016 23:00
1000,None,19.50,0,0,92,Rain,moderate rain,25-09-2016 01:00
1000,None,-1.60,0,0,1,Clear,sky is clear,23-11-2015 23:00
1000,None,-22.00,0,0,1,Clear,sky is clear,31-12-2017 00:00
1000,None,1.47,0,0,90,Clouds,overcast clouds,31-03-2014 23:00
1000,None,-4.13,0,0,90,Clouds,overcast clouds,31-12-2016 07:00
1000,None,0.67,0,0,90,Clouds,overcast clouds,11-03-2018 23:00
1001,None,5.06,0,0,12,Clouds,few clouds,22-10-2016 01:00
1001,None,13.63,0,0,90,Rain,light rain,19-05-2013 01:00
1001,None,13.63,0,0,90,Mist,mist,19-05-2013 01:00
1001,None,-13.57,0,0,1,Clear,sky is clear,03-02-2016 23:00
1001,None,21.65,0,0,90,Thunderstorm,proximity thunderstorm,29-08-2016 23:00
1001,None,21.65,0,0,90,Rain,heavy intensity rain,29-08-2016 23:00
1001,None,7.09,0,0,0,Clear,Sky is Clear,23-10-2016 01:00
1001,None,9.93,0,0,75,Clouds,broken clouds,05-03-2017 23:00
1002,None,18.27,0,0,75,Clouds,broken clouds,29-06-2017 04:00
1002,None,-13.38,0,0,64,Mist,mist,22-12-2013 23:00
1002,None,-13.38,0,0,64,Snow,light snow,22-12-2013 23:00
1002,None,8.80,0,0,93,Fog,fog,14-10-2012 23:00
1002,None,8.07,0,0,90,Rain,moderate rain,15-03-2016 23:00
1002,None,8.80,0,0,93,Mist,mist,14-10-2012 23:00
1003,None,-24.53,0,0,1,Clear,sky is clear,06-01-2018 00:00
1003,None,21.95,0.25,0,40,Mist,mist,02-09-2018 06:00
1003,None,-7.53,0,0,90,Snow,heavy snow,29-12-2012 00:00
1003,None,12.54,0,0,1,Clear,sky is clear,05-06-2016 06:00
1003,None,-7.53,0,0,90,Mist,mist,29-12-2012 00:00
1003,None,6.47,0,0,20,Clouds,few clouds,26-04-2014 00:00
1003,None,7.07,0,0,90,Clouds,overcast clouds,13-04-2016 04:00
1003,None,21.95,0.25,0,40,Rain,light rain,02-09-2018 06:00
1003,None,15.60,0,0,1,Clear,sky is clear,24-08-2013 05:00
1004,None,-10.75,0,0,1,Clear,sky is clear,15-03-2017 04:00
1004,None,-1.30,0,0,64,Clouds,broken clouds,19-01-2014 23:00
1005,None,5.79,0.25,0,90,Rain,light rain,23-04-2014 23:00
1005,None,18.65,0,0,20,Mist,mist,20-08-2018 23:00
1005,None,25.29,0,0,75,Rain,light rain,21-07-2016 04:00
1005,None,25.29,0,0,75,Thunderstorm,thunderstorm with heavy rain,21-07-2016 04:00
1005,None,22.89,0,0,40,Clouds,scattered clouds,25-06-2016 02:00
1005,None,14.22,0,0,0,Clear,Sky is Clear,24-06-2016 04:00
1005,None,22.24,0,0,90,Clouds,overcast clouds,02-08-2016 04:00
1005,None,14.25,0,0,90,Mist,mist,29-05-2013 23:00
1006,None,2.47,0,0,90,Clouds,overcast clouds,25-03-2017 06:00
1006,None,13.03,0,0,90,Drizzle,light intensity drizzle,12-05-2013 00:00
1006,None,-24.71,0,0,1,Clear,sky is clear,30-12-2017 06:00
1006,None,13.03,0,0,90,Rain,light rain,12-05-2013 00:00
1006,None,2.79,0,0,24,Clouds,few clouds,30-10-2016 23:00
1006,None,4.26,0,0,75,Mist,mist,03-12-2012 23:00
1007,None,12.85,0,0,1,Clear,sky is clear,14-09-2016 23:00
1007,None,-16.42,0,0,90,Clouds,overcast clouds,11-12-2012 23:00
1007,None,1.54,0,0,90,Mist,mist,15-04-2013 23:00
1007,None,20.41,1.02,0,90,Rain,moderate rain,26-05-2014 23:00
1007,None,1.93,0,0,1,Mist,mist,10-04-2018 23:00
1007,None,-3.31,0,0,1,Clear,sky is clear,06-01-2016 04:00
1007,None,-7.71,0,0,90,Clouds,overcast clouds,12-02-2014 23:00
1007,None,1.54,0,0,90,Rain,light rain,15-04-2013 23:00
1007,None,-2.10,0,0,64,Clouds,broken clouds,30-11-2013 00:00
1008,None,12.34,0.25,0,1,Mist,mist,30-08-2018 04:00
1008,None,15.24,0,0,20,Clouds,few clouds,25-05-2014 07:00
1008,None,15.61,0,0,1,Clear,sky is clear,15-05-2017 23:00
1008,None,12.34,0.25,0,1,Rain,light rain,30-08-2018 04:00
1008,None,1.13,0,0,90,Clouds,overcast clouds,23-02-2017 04:00
1008,None,-17.21,0,0,64,Snow,light snow,09-12-2013 23:00
1008,None,3.21,0,0,90,Clouds,overcast clouds,02-04-2014 23:00
1008,None,-0.57,0,0,1,Clear,sky is clear,26-02-2018 23:00
1009,None,-14.10,0,0,1,Clear,sky is clear,23-03-2014 07:00
1009,None,-4.29,0,0,90,Snow,snow,11-11-2017 00:00
1009,None,-8.72,0,0,64,Snow,light snow,22-12-2013 07:00
1009,None,0.57,0,0,1,Clear,sky is clear,26-11-2017 23:00
1009,None,16.63,0,0,40,Clouds,scattered clouds,02-06-2014 23:00
1009,None,22.30,0,0,20,Clouds,few clouds,25-06-2016 05:00
1009,None,0.09,0,0,1,Clear,sky is clear,24-04-2013 23:00
1009,None,-4.29,0,0,90,Mist,mist,11-11-2017 00:00
1010,None,22.22,0,0,1,Clear,sky is clear,07-05-2018 23:00
1010,None,1.20,0,0,1,Clear,sky is clear,25-11-2017 06:00
1010,None,-0.08,0,0,90,Clouds,overcast clouds,17-11-2013 23:00
1010,None,3.20,0,0,90,Haze,haze,20-11-2013 23:00
1010,None,-21.63,0,0,1,Clear,sky is clear,25-02-2014 23:00
1010,None,3.20,0,0,90,Mist,mist,20-11-2013 23:00
1011,None,2.80,0,0,1,Clear,sky is clear,05-03-2017 06:00
1011,None,-14.87,0,0,1,Clear,sky is clear,16-02-2014 07:00
1011,None,20.14,0,0,1,Clear,sky is clear,22-08-2017 00:00
1011,None,-13.54,0,0,1,Clear,sky is clear,10-02-2016 23:00
1011,None,18.42,0,0,75,Clouds,broken clouds,26-05-2014 07:00
1011,None,5.88,0,0,92,Rain,moderate rain,06-10-2016 23:00
